id,group_id,role,chosen,treat,cond,q1,q2,q3,q4,q5,q6,q7,q8,full_comp,invest_comp,tp_invest,tp_invest_perc,send,send_perc,return,return_perc,payoff,comments
z535c6rqul2kd3vs,13,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0.45,"Thanks for the opportunity, and for the bonus!"
z535c6rqxcv2nh1h,278,TP,FALSE,Choice / Knowledge,H,c,1,c,c,c,2,c,c,0,0,0.2,44.44,NA,NA,0.5,50,0,
z535c6rq38cxal2b,275,TP,TRUE,Random / Anonymous,P,c,3,c,c,c,c,c,1,0,0,0,0,NA,NA,0,0,0.9,
z535c6rquzfben8k,280,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0.45,
z535c6rqufvvi6yk,406,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqo33h83uw,12,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,1,0,1,0.2,44.44,NA,NA,0.5,50,0.45,
z535c6rqe5fl2m9d,278,TP,TRUE,Choice / Knowledge,H,c,1,1,c,1,1,c,c,0,0,0.45,100,NA,NA,0.5,50,0.45,n/a thanks!
z535c6rqkpe0pndl,275,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rq7nkh89v4,14,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.2,20,0.36,
z535c6rqk3xf7ssj,11,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.21,46.67,NA,NA,0.5,50,0,This was very interesting to think about. Thanks for this HIT.
z535c6rqzcx18b3u,16,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0.45,
z535c6rqhee7ab4y,13,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.01,2.22,NA,NA,0,0,0,"I'm a horrible person! Its only a couple cents, I feel bad. But this way I can guarentee Ill make most pennies!"
z535c6rqenar1xn1,18,TP,FALSE,Choice / Knowledge,H,c,3,1,c,c,c,3,c,0,0,0.05,11.11,NA,NA,0.5,50,0,interesting
z535c6rqzl05knuy,279,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0.45,100,NA,NA,0.5,50,0,
z535c6rq8iokwkb3,14,TP,FALSE,Random / Anonymous,H,c,c,c,3,c,c,c,c,0,0,0.3,66.67,NA,NA,0.6,60,0,This was fun! Thank you
z535c6rqatpnspp4,11,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,1,c,c,0,1,0.05,11.11,NA,NA,0,0,0,
z535c6rqeuqsvf4z,17,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.45,100,NA,NA,0,0,0,None
z535c6rqfrfoi5sb,18,TP,TRUE,Choice / Knowledge,H,c,c,c,2,3,2,c,c,0,0,0.2,44.44,NA,NA,0.5,50,0.45,
z535c6rqs5jd2qty,279,TP,FALSE,Random / Anonymous,P,c,c,c,c,2,c,c,c,0,0,0.25,55.56,NA,NA,0.7,70,0,
z535c6rqi9eiqpy0,19,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.4,40,0,
z535c6rqkomwsxkg,15,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,1,0,1,0,0,NA,NA,0,0,0,
z535c6rqbkwixk1t,16,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0,
z535c6rqtajr59wq,17,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.4,40,0,
z535c6rqe415j7kg,22,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqh4718sdv,387,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0.15,
z535c6rqxvxj2odt,19,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.3,
z535c6rqe0fdh0qw,15,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,Thank you.
z535c6rqpc6ol110,417,TP,TRUE,Choice / Knowledge,P,c,3,c,c,c,1,c,c,0,0,0.25,55.56,NA,NA,0.5,50,0.45,"good study, thank you."
z535c6rq4kngxy0r,22,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.45,100,NA,NA,0,0,0.9,"None, thank you.  "
z535c6rqztu5o9ya,24,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rqap8p3a20,21,TP,FALSE,Random / Knowledge,H,c,1,c,c,c,c,c,c,0,0,0.4,88.89,NA,NA,0.5,50,0,
z535c6rqyrd3b2it,417,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,2,c,0,1,0,0,NA,NA,1,100,0,
z535c6rq6vxx17r9,26,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,"Strange HIT, thank you."
z535c6rqoc1e9io8,387,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,n/a
z535c6rq54cjvsob,24,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,1,c,3,0,1,0,0,NA,NA,0.1,10,0.81,
z535c6rquz7myrjw,21,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,1,0,1,0.1,22.22,NA,NA,0.5,50,0.45,
z535c6rqaxiezckw,26,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.1,10,0.81,no comments
z535c6rqruh7t8t4,28,TP,FALSE,Random / Anonymous,H,c,3,c,c,c,c,c,c,0,0,0,0,NA,NA,0,0,0,
z535c6rqoempcw9y,272,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,3,0,1,0.2,44.44,NA,NA,0.4,40,0,thanks
z535c6rqvnkehq54,418,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.15,33.33,NA,NA,0.5,50,0,
z535c6rq82ijq8yc,283,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rq0m2srwjz,23,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0.09,
z535c6rqim9fmqkp,28,TP,TRUE,Random / Anonymous,H,c,c,c,c,2,c,2,c,0,0,0.1,22.22,NA,NA,0.1,10,0.4,Thank you for the survey!
z535c6rq8ho404jt,20,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rqtc7ljp3j,418,TP,TRUE,Choice / Knowledge,P,c,c,c,1,c,1,c,c,0,0,0.2,44.44,NA,NA,0.4,40,0.54,
z535c6rqww9ks7hi,283,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.1,22.22,NA,NA,0.4,40,0.54,
z535c6rqb27xvm8w,23,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,1,0,1,0,0,NA,NA,0,0,0,"I misunderstood thinking that Player 4 was a Player 3 from Game A, but I understand my mistake now."
z535c6rqid6o6cy6,32,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0,none
z535c6rq5oeo2tdk,20,TP,TRUE,Random / Knowledge,P,c,c,c,1,c,c,c,c,0,0,0.25,55.56,NA,NA,0.5,50,0.45,
z535c6rq89mon5rm,272,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,1,c,c,0,1,0,0,NA,NA,0,0,0.9,
z535c6rqitd3xgl3,30,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,2,c,c,0,1,0.25,55.56,NA,NA,0.3,30,0.63,
z535c6rq7bg970z9,426,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0.15,
z535c6rqltwiurby,27,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,No comment.
z535c6rqhvnpw0rq,32,TP,FALSE,Random / Anonymous,H,c,c,2,c,c,2,c,c,0,0,0.25,55.56,NA,NA,0.1,10,0,interesting study
z535c6rqywphdh0f,409,TP,FALSE,Random / Knowledge,H,c,3,c,c,c,c,c,c,0,0,0,0,NA,NA,0,0,0,Interesting survey--
z535c6rqfjwgg3xb,30,TP,FALSE,Choice / Knowledge,P,c,3,c,c,c,c,3,c,0,0,0,0,NA,NA,0,0,0,
z535c6rqspv9wzci,27,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,2,c,c,0,1,0.05,11.11,NA,NA,0,0,0.9,this was fun!
z535c6rqjjqvbc9o,396,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0.45,
z535c6rqxcgq7csh,25,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rqkktq0qee,409,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.1,22.22,NA,NA,0.2,20,0.36,
z535c6rqz190qzt1,34,TP,TRUE,Choice / Knowledge,P,c,3,c,2,c,1,3,c,0,0,0,0,NA,NA,0.5,50,0.22,Thank you
z535c6rqlznah672,426,TP,FALSE,Choice / Knowledge,H,c,3,2,2,c,2,c,1,0,0,0.25,55.56,NA,NA,0.4,40,0,
z535c6rqsmowb1uf,396,TP,FALSE,Random / Anonymous,H,c,c,c,1,c,1,c,c,0,0,0,0,NA,NA,0,0,0,
z535c6rqkodbmynr,25,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.2,20,0.72,none
z535c6rqfv2v3fhh,282,TP,FALSE,Random / Knowledge,H,c,c,1,c,c,c,c,c,0,0,0.2,44.44,NA,NA,0.5,50,0,
z535c6rq5ecu4wt2,427,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.45,100,NA,NA,0.5,50,0.22,
z535c6rqcz6hi75g,31,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,1,100,0,
z535c6rqfth0091e,35,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.5,50,0,
z535c6rq8nccxpt1,34,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0,
z535c6rqpsd6yri0,427,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.4,40,0,
z535c6rqe7xlmgzz,31,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.3,30,0,
z535c6rqz5d7adia,35,TP,TRUE,Random / Anonymous,H,c,3,c,c,c,c,c,c,0,0,0.05,11.11,NA,NA,0.3,30,0,
z535c6rq6hia3jfw,29,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.9,
z535c6rqhmnn5q3r,282,TP,TRUE,Random / Knowledge,H,3,3,1,c,c,c,c,3,0,0,0.05,11.11,NA,NA,0.1,10,0.4,
z535c6rqswdzoucx,419,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,1,c,1,0,1,0.2,44.44,NA,NA,0.5,50,0.45,thanks
z535c6rqd5w55r1e,38,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,1,c,c,0,1,0.23,51.11,NA,NA,0.5,50,0,
z535c6rqvu6wh6oq,394,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0.35,77.78,NA,NA,0.3,30,0,
z535c6rq0jcezsbr,40,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,Always interesting hits! 
z535c6rqqhgunjtw,29,TP,FALSE,Random / Knowledge,P,c,3,c,1,c,2,c,c,0,0,0,0,NA,NA,0.5,50,0,NONE
z535c6rq6xx162p1,285,TP,FALSE,Random / Knowledge,H,c,c,c,1,c,c,c,c,0,0,0.2,44.44,NA,NA,0.5,50,0,
z535c6rqzisf3kii,419,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,1,c,c,0,1,0,0,NA,NA,0.5,50,0,
z535c6rqxjwp0p8y,38,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,2,c,c,0,1,0.25,55.56,NA,NA,0.4,40,0.54,
z535c6rqctc69h0c,394,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.4,40,0,
z535c6rqsdgzs3kv,40,TP,TRUE,Random / Anonymous,H,c,c,c,c,3,c,2,c,0,0,0,0,NA,NA,0.3,30,0.21,
z535c6rqhm5layun,33,TP,TRUE,Random / Knowledge,P,c,1,2,c,c,c,c,3,0,0,0,0,NA,NA,0.1,10,0.81,
z535c6rqn8fznucv,285,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,1,c,c,0,1,0.4,88.89,NA,NA,0,0,0.9,
z535c6rqciwa109i,37,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rqgipsipvu,291,TP,TRUE,Choice / Knowledge,H,c,1,c,c,c,2,2,1,0,0,0.45,100,NA,NA,0.5,50,0.22,"no comments, thank you"
z535c6rqdhwv7hvj,395,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,1,0,1,0,0,NA,NA,0.3,30,0,none now
z535c6rqvdkjyv72,43,TP,TRUE,Random / Anonymous,H,c,3,c,c,c,2,c,c,0,0,0.25,55.56,NA,NA,0.5,50,0,"this was fun and very interesting, thanks..."
z535c6rqldbhvyl4,37,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqnts3ygbj,291,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,none
z535c6rqi9dbuknp,395,TP,TRUE,Random / Anonymous,P,2,c,c,c,c,c,c,1,0,0,0.25,55.56,NA,NA,0.5,50,0.45,
z535c6rq62re8bv9,43,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0,
z535c6rqzms2eteo,33,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.05,11.11,NA,NA,0.5,50,0,n/a
z535c6rqpyziy0oz,36,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,1,2,c,0,1,0.25,55.56,NA,NA,0,0,0,
z535c6rqa9ddk8gg,42,TP,FALSE,Choice / Knowledge,P,c,c,c,2,1,c,c,1,0,0,0.1,22.22,NA,NA,0.4,40,0,
z535c6rql7g7612t,47,TP,TRUE,Choice / Knowledge,H,c,c,c,2,1,c,c,c,0,0,0.2,44.44,NA,NA,0.4,40,0.18,
z535c6rqsqc2t6na,39,TP,FALSE,Random / Anonymous,P,c,c,c,3,2,c,3,1,0,0,0.25,55.56,NA,NA,0.5,50,0,
z535c6rq2ghnwhp4,49,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,1,c,c,0,1,0,0,NA,NA,0,0,0,thanks
z535c6rqoc3xvld9,281,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,3,c,0,1,0.45,100,NA,NA,0.6,60,0,
z535c6rqrsoerxyj,36,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,3,c,0,1,0.05,11.11,NA,NA,0.5,50,0.45,
z535c6rqdxjaesu9,47,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.5,50,0,
z535c6rqfd9oo0g4,39,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.48,
z535c6rqqxg1y2m2,49,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0,Thanks for being clear about the ;lack of deception!
z535c6rqb9phr0n2,281,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rqs45uqgnh,41,TP,FALSE,Random / Knowledge,H,c,1,c,1,c,1,2,c,0,0,0.45,100,NA,NA,0.7,70,0,"strange game, very complicated"
z535c6rqce2ld7b2,42,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.3,66.67,NA,NA,0.5,50,0.45,
z535c6rqbv7b23lw,50,TP,TRUE,Choice / Knowledge,H,c,c,2,c,c,c,c,c,0,0,0.35,77.78,NA,NA,0.5,50,0,
z535c6rqknefvs9h,51,TP,FALSE,Random / Anonymous,H,c,c,c,1,c,c,c,c,0,0,0.25,55.56,NA,NA,0,0,0,no comments thanks for asking though ;)
z535c6rqi7h743cy,284,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,1,c,c,0,1,0,0,NA,NA,0,0,0,Thanks!
z535c6rq9zwpsha7,41,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,2,c,c,0,1,0.15,33.33,NA,NA,0.2,20,0.72,no comments
z535c6rqhrljbv7n,51,TP,TRUE,Random / Anonymous,H,c,c,c,c,c,1,c,c,0,1,0.25,55.56,NA,NA,0.5,50,0.3,
z535c6rq74brfsiq,284,TP,TRUE,Random / Knowledge,P,c,c,c,3,1,c,2,c,0,0,0.45,100,NA,NA,0.5,50,0.45,"Pretty fun, thanks"
z535c6rqvj5o003k,45,TP,FALSE,Random / Knowledge,H,2,1,c,1,c,c,3,3,0,0,0.2,44.44,NA,NA,0.7,70,0,Very Interesting.
z535c6rquwi7jf7s,46,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,
z535c6rq9x1su3v2,50,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,3,0,1,0,0,NA,NA,0,0,0,
z535c6rqmwiawab4,292,TP,TRUE,Random / Anonymous,P,c,c,c,c,2,2,c,c,0,0,0.22,48.89,NA,NA,0,0,0,
z535c6rq583uogci,55,TP,FALSE,Random / Anonymous,H,c,c,c,c,c,c,c,c,1,1,0.12,26.67,NA,NA,0.3,30,0,
z535c6rql28hy5on,287,TP,FALSE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,NONE
z535c6rqkj9q7dis,45,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0,None
z535c6rqb53fyqlt,295,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,2,c,c,0,1,0.1,22.22,NA,NA,0.3,30,0,
z535c6rquxgywz1t,55,TP,TRUE,Random / Anonymous,H,c,1,c,c,c,c,c,3,0,0,0,0,NA,NA,0,0,0,
z535c6rqjzabge79,288,TP,FALSE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.07,15.56,NA,NA,0,0,0,
z535c6rqc228dt3y,46,TP,TRUE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.3,66.67,NA,NA,0.5,50,0.45,
z535c6rqvnr5p884,295,TP,TRUE,Choice / Knowledge,H,c,3,c,c,c,c,c,c,0,0,0.25,55.56,NA,NA,0.5,50,0.45,
z535c6rqa5gtk5g0,292,TP,FALSE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0.3,30,0,
z535c6rq7fq2ut61,286,TP,FALSE,Random / Anonymous,H,c,3,c,c,c,c,3,c,0,0,0,0,NA,NA,0.5,50,0,
z535c6rq210pffv1,287,TP,TRUE,Random / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.45,100,NA,NA,0.4,40,0.54,None. Thank You
z535c6rq8deqnvxy,288,TP,TRUE,Random / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.2,44.44,NA,NA,0.5,50,0.3,it was fun
z535c6rqp75q8bgr,439,TP,FALSE,Choice / Knowledge,P,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.4,40,0,
z535c6rq9qip9jfn,57,TP,FALSE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.05,11.11,NA,NA,0.2,20,0,
z535c6rqe4q3pxrl,48,TP,TRUE,Random / Anonymous,P,c,c,c,c,c,c,c,c,1,1,0,0,NA,NA,0,0,0.9,
z535c6rqdylxg4lv,286,TP,TRUE,Random / Anonymous,H,c,c,c,c,2,c,c,c,0,0,0,0,NA,NA,0,0,0.9,
z535c6rqoyaiezgq,44,TP,TRUE,Random / Knowledge,P,c,3,c,c,c,c,c,c,0,0,0.05,11.11,NA,NA,0.6,60,0,
z535c6rqw5ohn35o,410,TP,FALSE,Random / Knowledge,H,c,c,c,1,c,c,2,c,0,0,0.05,11.11,NA,NA,0,0,0,
z535c6rq4v80wx3d,439,TP,TRUE,Choice / Knowledge,P,c,c,c,2,c,2,c,c,0,0,0,0,NA,NA,0.3,30,0.53,
z535c6rqu0gmf000,57,TP,TRUE,Choice / Knowledge,H,c,c,c,c,c,c,c,c,1,1,0.25,55.56,NA,NA,0.3,30,0.63,
