study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,0,1,0,,,,2,0,,,,,,0,,,,,,,11,22,22,19,31,1,5,9,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,3,1,0,0,,0,,,0,,,,,39,1,5,5,3,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,1,0,,,,,,,,,,26,1,4,4,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,1,0,,0,,,0,,,,,27,1,4,2,2,3
9,0,0,1,0,0,0,Punishment Only,1,0,,0,0,1,1,1,,,,3,0,,,,,,,1,,44,78,56,59,,,,,42,0,2,6,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,0,0,4,1,1,0,,0,0,1,0,80,11,11,22,15,78,78,89,81,35,0,4,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,2,1,1,0,,0,,,0,,,,,29,1,5,9,1,2
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,40,,,40,,,,,24,0,4,6,1,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,0,1,1,1,0,1,1,3,0,2,0,,,,1,0,50,,,,,,,,,67,1,5,8,5,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,0,0,0,,,,1,0,,,0,0,0,,0,,0,,,0,,,,,40,0,4,10,3,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,1,1,3,0,3,1,,,,1,0,50,,,,,,,,,38,1,5,8,2,5
12,0,0,0,0,0,1,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,1,50,,,,,,,,,31,1,5,9,,
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,0,,50,,,,,0,0,0,0,32,0,4,6,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,36,0,5,1,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,1,0,0,0,,10,,,10,,,,,36,0,5,10,3,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,1,0,1,0,,30,,,30,,,,,38,0,4,4,1,4
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,,,,,21,0,4,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,,,,,,,,,21,1,2,4,1,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,0,1,4,1,2,0,,1,0,1,0,0,,,,,,,,,21,1,4,1,3,4
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,1,,44,11,44,33,,,,,26,1,4,2,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,22,44,67,44,28,0,5,5,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,0,0,,0,,10,,,10,,,,,27,1,5,4,3,3
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,30,0,6,5,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,1,1,1,1,1,1,3,0,3,1,,1,0,,0,30,,,,,,,,,36,1,4,2,,
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,33,100,56,63,27,0,3,4,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,11,0,44,19,28,0,2,1,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,20,,,,,,,,,19,1,4,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,0,0,0,,,,1,0,,,,0,0,0,0,,,,,,,,,,42,0,5,6,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,2,1,,1,,70,,,70,,,,,29,0,5,7,2,3
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,1,,0,,,,,,,,,21,1,4,2,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,1,0,1,1,0,1,2,0,2,0,,,,,1,90,,,,,,,,,30,1,4,5,3,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,0,1,0,1,3,0,2,0,,,,,0,50,22,33,44,33,,,,,22,1,4,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,1,0,1,,,,2,0,,,0,0,0,,1,,0,,,0,,,,,30,1,6,10,5,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,1,,50,,,50,,,,,18,1,4,1,3,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,,,,,,,,,22,0,4,4,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,0,0,1,1,,90,,,90,,,,,19,0,4,5,2,4
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,50,,,,,,,,,32,1,4,7,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,2,1,1,0,,50,,,50,,,,,32,1,5,7,2,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,3,1,1,0,,10,,,10,,,,,53,0,6,10,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,0,1,1,1,3,0,3,1,,,,1,,50,,,,,100,100,100,100,34,0,4,7,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,1,0,,20,,,20,,,,,25,1,2,2,3,2
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,0,0,0,,,,0,0,,,0,1,0,,1,,100,,,100,,,,,24,1,1,1,4,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,,,,,,,,,31,1,5,4,1,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,2,1,,1,,100,,,100,,,,,60,1,5,7,3,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,0,1,0,,,,2,0,,,1,0,0,1,0,,100,,,100,,,,,35,0,4,3,1,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,0,1,1,1,1,1,3,0,3,1,,,,,0,60,33,11,11,19,,,,,24,0,5,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,0,0,1,,,,1,0,,,0,0,0,,1,,80,,,80,,,,,23,0,4,5,4,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,1,0,,0,,0,,,0,,,,,48,1,5,3,3,5
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,3,1,0,0,,0,0,0,0,0,44,100,48,35,1,4,3,,
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,0,0,0,0,,78,56,67,67,33,44,78,52,25,1,4,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,,0,20,,,,,,,,,26,1,4,5,3,5
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,50,,,,,,,,,23,0,4,4,2,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,1,0,,0,,,0,,,,,21,0,4,4,3,5
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,67,44,78,63,44,1,5,7,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,2,1,1,0,,50,,,50,,,,,28,1,4,4,2,4
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,,,0,,,,,,,44,44,67,52,35,0,5,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,1,,,,,,,,,,44,0,4,1,3,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,0,1,1,1,1,0,1,3,0,2,0,,,,1,1,50,,,,,,,,,58,0,3,6,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,44,67,56,56,67,67,78,70,51,0,5,7,,
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,1,1,0,1,1,4,1,2,0,,,,,1,50,,,,,,,,,34,1,4,6,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,0,1,1,4,1,2,0,,0,0,1,,50,,,,,,,,,71,0,5,5,,
8,0,1,0,0,0,0,Punishment Only,1,0,,0,0,1,0,0,,,,1,0,,,,0,0,,1,,33,22,33,30,,,,,38,0,5,4,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,1,,56,89,78,74,,,,,43,0,5,9,,
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,0,0,0,0,,,,,21,1,4,1,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,78,100,100,93,40,0,5,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,0,1,0,,,,2,0,,,0,1,0,1,1,,70,,,70,,,,,21,0,5,6,3,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,0,0,0,0,,60,,,60,,,,,32,1,5,9,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,0,0,1,1,0,0,0,2,0,0,0,,,,1,,80,,,,,78,89,89,85,30,1,4,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,0,0,1,1,,,,2,0,,,,0,0,1,1,,,,,,,,,,22,0,3,4,3,2
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,0,0,1,,,,,,,44,67,100,70,24,0,5,2,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,1,0,,60,,,60,,,,,20,1,4,5,2,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,0,1,4,1,2,0,,,,0,0,80,,,,,,,,,63,1,4,7,1,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,1,1,,40,,,40,,,,,34,0,4,2,3,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,1,50,,,,,,,,,35,1,6,6,1,3
11,0,0,0,0,1,0,Helping Only,0,1,,1,0,1,1,1,0,1,1,3,0,2,0,,,,0,,100,,,,,,,,,28,1,4,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,3,1,,0,,,,,,,,,,24,1,2,3,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,20,,,20,,,,,18,1,4,2,2,4
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,2,1,0,,,,,,,22,11,44,26,31,1,6,10,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,0,0,,1,,70,,,70,,,,,23,1,4,3,4,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,2,1,0,1,,100,100,100,100,33,89,44,56,30,1,6,6,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,0,0,,1,,,,,,,,,,59,0,6,5,1,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,0,100,,,,,,,,,26,1,5,10,3,3
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,,,,,,,,,50,0,2,7,,
12,0,0,0,0,0,1,Punishment + Helping,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,,,,1,1,40,,,,,,,,,36,0,2,6,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,1,0,50,,,,,,,,,40,0,5,9,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,,0,0,,1,,,,,,,,,,31,0,2,6,3,5
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,0,0,0,,,,,,,,,23,1,5,1,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,0,0,,0,,30,,,30,,,,,32,0,4,7,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,,0,50,,,,,,,,,33,0,5,9,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,0,1,1,1,3,0,3,1,,,,,0,50,56,67,56,59,,,,,32,1,4,7,,
12,0,0,0,0,0,1,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,0,,,,,,,,,29,1,5,6,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,1,1,3,0,3,1,,,,1,0,90,,,,,,,,,39,0,4,6,,
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,1,0,,,,,,,,,37,1,6,1,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,0,1,1,1,1,0,1,3,0,2,0,,,,1,0,100,,,,,,,,,19,0,2,2,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,1,1,1,0,1,1,3,0,2,0,,1,0,,1,0,,,,,,,,,37,0,2,5,1,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,0,0,1,0,,,,,,,,,,39,0,2,4,5,3
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,30,,,30,,,,,31,0,5,1,1,2
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,0,1,1,,,,3,0,,,,0,0,,0,,,,,,,,,,68,0,4,9,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,0,0,1,4,1,1,0,,0,0,,1,40,,,,,,,,,24,0,5,6,2,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,0,100,,,,,,,,,30,1,5,6,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,0,1,0,,,,2,0,,,0,0,0,1,1,,70,,,70,,,,,33,1,4,5,3,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,0,,,,,,,,,25,1,4,4,3,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,78,78,100,85,39,1,5,8,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,50,,,50,,,,,61,0,4,7,2,4
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,1,0,0,0,,11,33,11,19,44,44,78,56,60,0,4,7,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,0,1,3,0,2,0,,0,0,1,0,30,0,56,44,33,67,67,78,70,54,0,6,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,0,1,0,,1,,60,,,60,,,,,23,1,5,8,4,5
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,1,1,1,3,0,3,1,,3,1,,0,30,,,,,,,,,39,1,4,6,4,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,0,0,0,,,,0,0,,,0,0,0,,0,,90,,,90,,,,,34,1,2,5,4,3
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,67,67,89,74,21,0,5,1,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,0,,,0,,,,,40,0,5,6,3,3
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,0,0,0,0,,,,,23,1,2,1,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,3,1,0,0,,,,,,,,,,23,1,2,1,3,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,26,0,2,3,2,3
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,1,1,1,1,1,0,3,0,2,0,,0,0,,1,100,,,,,,,,,35,0,3,9,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,0,1,1,4,1,2,0,,2,1,1,,50,,,,,22,22,44,30,44,0,4,2,,
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,0,30,,,,,,,,,20,1,4,3,,
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,0,1,1,,,,3,0,,,,0,0,,0,,0,0,0,0,,,,,34,0,5,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,0,1,1,1,1,1,1,3,0,3,1,,0,0,1,1,80,,,,,,,,,33,0,4,4,2,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,0,0,1,0,,50,,,50,,,,,36,0,2,6,3,4
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,,3,1,1,0,,0,0,0,0,44,44,44,44,62,1,6,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,1,1,50,,,,,,,,,19,0,4,1,3,4
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,,,1,,,,,,,67,67,78,70,34,1,2,6,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,67,78,100,81,57,0,5,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,0,1,0,0,,,,1,0,,,0,0,0,,0,,80,,,80,,,,,30,1,5,6,3,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,0,1,1,,,,3,0,,,,,,1,1,,,,,,,,,,28,1,6,1,4,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,1,50,100,100,100,100,100,100,100,100,29,1,5,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,0,0,0,,,,0,0,,,1,1,0,1,0,,50,,,50,,,,,26,1,5,5,2,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,25,1,4,4,2,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,0,0,1,0,,20,,,20,,,,,40,0,2,1,2,5
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,0,0,0,0,31,1,5,9,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,0,0,0,1,,,,1,0,,,,,,,0,,,,,,,,,,41,0,5,9,4,4
9,0,0,1,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,0,0,1,,,,,,,67,78,89,78,61,0,5,6,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,1,0,,56,44,56,52,67,67,78,70,37,0,5,2,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,3,1,0,,,,,,,11,44,89,48,33,1,4,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,0,,,,,,,,,,36,0,4,7,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,0,1,0,,0,,100,,,100,,,,,35,0,5,7,5,4
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,,,,0,0,,11,22,33,22,44,44,56,48,33,1,2,4,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,0,1,1,4,1,2,0,,,,0,,0,,,,,,,,,31,1,2,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,0,0,0,0,,,,,,,,,,24,0,5,5,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,0,0,1,0,,,,1,0,,,,,,,1,,78,89,44,70,,,,,29,0,5,8,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,60,,,,,,,,,26,0,5,1,1,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,1,,100,100,100,100,,,,,72,0,5,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,0,0,,,,2,0,,,0,0,0,1,1,,100,,,100,,,,,37,0,5,5,3,3
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,0,1,0,1,1,0,1,2,0,2,0,,,,1,0,50,22,56,56,44,56,67,89,70,55,1,4,2,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,0,,50,,,50,,,,,33,0,4,9,4,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,0,1,1,,,,3,0,,,,1,0,1,0,,,,,,,,,,43,1,5,10,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,11,44,100,52,33,0,6,9,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,1,1,,90,,,90,,,,,21,0,5,3,2,3
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,40,,,,,,,,,27,0,5,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,3,1,0,0,,,,,,,,,,31,0,5,8,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,1,,0,,,0,,,,,67,1,6,6,2,3
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,1,50,,,,,,,,,65,1,6,4,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,0,,,0,,,,,34,1,6,10,1,5
12,0,0,0,0,0,1,Punishment + Helping,0,0,1,1,0,1,1,1,1,1,1,3,0,3,1,,,,1,1,100,,,,,,,,,22,1,5,8,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,0,,,0,,,,,19,1,4,5,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,1,0,,40,,,40,,,,,27,0,4,2,3,2
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,67,89,89,81,,,,,37,0,5,8,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,0,1,1,3,0,2,0,,2,1,,0,40,,,,,,,,,33,0,6,5,3,4
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,0,1,1,1,3,0,3,1,,2,1,,0,50,,,,,,,,,30,0,6,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,0,1,0,,,,2,0,,,,0,0,,0,,,,,,,,,,56,0,6,10,2,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,56,22,67,48,33,67,44,48,28,1,5,10,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,0,1,1,4,1,2,0,,,,,0,0,,,,,,,,,28,1,5,10,1,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,1,1,,60,,,60,,,,,28,0,5,8,2,4
12,0,0,0,0,0,1,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,1,0,1,,50,,,,,,,,,45,0,1,1,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,1,50,,,,,,,,,33,1,6,7,3,4
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,3,1,1,,50,,,,,44,44,78,56,33,1,6,7,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,1,0,0,0,,0,,,0,,,,,30,1,4,1,3,3
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,0,1,1,1,,,,3,0,,,,0,0,1,0,,44,33,67,48,56,44,56,52,34,0,5,10,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,0,0,,,,,,,,,,24,1,5,10,2,4
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,2,1,0,,,,,,,33,44,44,41,23,1,5,10,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,,,,0,0,,,,,,,,,,30,0,5,6,1,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,1,0,0,0,,60,,,60,,,,,34,1,5,7,1,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,1,0,0,,,,1,0,,,0,0,0,1,1,,100,,,100,,,,,35,1,5,5,5,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,0,0,,0,,,0,,,,,23,0,6,5,2,4
